"Rank","Player","Team","Bye","POS","CBS","AVG"
"215","Eric Ebron","","","TE23","213","190.0"
"216","Austin Seferian-Jenkins","","","TE24","169","191.3"
"217","Jared Cook","","","TE25","154","213.7"
"218","Tyrod Taylor","NYJ","5","QB27","198","192.3"
"219","Reggie Wayne","","","WR71","200","193.3"
"220","Indianapolis Colts","DST","10","DST22","235","194.0"
"221","Chicago Bears","DST","7","DST23","","165.5"
"222","Roy Helu","","","RB61","180","195.7"
"223","Blake Bortles","","","QB28","189","213.7"
"224","Jordan Reed","","","TE26","202","202.0"
"225","James Starks","","","RB62","204","203.0"
"226","Mohamed Sanu Sr.","","","WR72","","180.5"
"227","Khiry Robinson","","","RB63","","208.3"
"228","Kirk Cousins","ATL","10","QB29","196","181.5"
"229","Jerick McKinnon","","","RB64","226","205.7"
"230","Cameron Artis-Payne","","","RB65","","183.0"
"231","Phil Dawson","","","K16","244","218.8"
"232","Ahmad Bradshaw","","","RB66","","251.5"
"233","Wes Welker","","","WR73","","246.0"
"234","Dwayne Bowe","","","WR74","188","217.0"
"235","Robbie Gould","","","K17","","191.5"
"236","Cordarrelle Patterson","PIT","11","RB67","191","194.5"
"237","Jeff Janis","","","WR75","217","242.3"
"238","Cecil Shorts","","","WR76","","195.0"
"239","Stevan Ridley","","","RB68","","210.5"
"240","Nick Folk","TEN","4","K18","245","220.3"
"241","Jaelen Strong","","","WR77","","213.0"
"242","Josh Scobee","","","K19","216","201.0"
"243","Ladarius Green","","","TE27","229","218.3"
"244","Robert Griffin","III","","QB30","","206.0"
"245","Allen Hurns","","","WR78","234","233.7"
"246","Bobby Rainey","","","RB69","","253.5"
"247","Josh Brown","","","K20","243","246.7"
"248","Virgil Green","","","TE28","186","247.0"
"249","Caleb Sturgis","","","K21","246","244.3"
"250","Brandon Bolden","","","RB70","","191.0"
"251","Nick Novak","","","K22","250","234.7"
"252","Jay Ajayi","","","RB71","","193.0"
"253","Branden Oliver","","","RB72","224","224.5"
"254","Lorenzo Taliaferro","","","RB73","","236.5"
"255","Chandler Catanzaro","","","K23","199","229.0"
"256","New Orleans Saints","DST","11","DST24","","200.0"
"257","Kenny Britt","","","WR79","231","226.5"
"258","Greg Zuerlein","NYJ","5","K24","241","228.0"
"259","Theo Riddick","","","RB74","214","229.5"
"260","Stedman Bailey","","","WR80","","209.0"
"261","Tavon Austin","","","WR81","211","239.0"
"262","Dan Herron","","","RB75","212","245.5"
"263","Leonard Hankerson","","","WR82","239","233.0"
"264","Cole Beasley","","","WR83","","220.0"
"265","Danny Amendola","","","WR84","220","257.5"
"266","Andrew Hawkins","","","WR85","222","247.0"
"267","Greg Jennings","","","WR86","223","261.5"
"268","Sammie Coates","","","WR87","","224.0"
"269","Los Angeles Chargers","DST","","DST25","227","252.0"
"270","Ryan Mallett","","","QB31","","228.0"
"271","Atlanta Falcons","DST","10","DST26","228","294.5"
"272","Ryan Fitzpatrick","","","QB32","","231.0"
"273","Garrett Hartley","","","K25","233","273.5"
"274","Aaron Dobson","","","WR88","","237.0"
"275","Washington Commanders","DST","8","DST27","238","249.0"
"276","Ray Rice","","","RB76","","239.0"
"277","Chris Polk","","","RB77","","240.0"
"278","Chris Johnson","","","RB78","240","248.5"
"279","Mychal Rivera","","","TE29","242","288.0"
"280","Trent Richardson","","","RB79","","246.0"
"281","Taylor Gabriel","","","WR89","","247.0"
"282","Lance Dunbar","","","RB80","247","250.5"
"283","Tampa Bay Buccaneers","DST","6","DST28","","248.0"
"284","Dustin Hopkins","CLE","11","K26","248","250.0"
"285","James White","","","RB81","","249.0"
"286","Graham Gano","NYG","11","K27","251","250.5"
"287","Damien Williams","","","RB82","249","299.5"
"288","Jacksonville Jaguars","DST","8","DST29","","251.0"
"289","Brian Hoyer","","","QB33","","253.0"
"290","Jeremy Langford","","","RB83","","255.0"
"291","Josh McCown","","","QB34","","256.0"
"292","Cleveland Browns","DST","11","DST30","","258.0"
"293","Riley Cooper","","","WR90","","262.0"
"294","Justin Hardy","","","WR91","","264.0"
"295","Javorius Allen","","","RB84","","266.0"
"296","Mark Sanchez","","","QB35","","270.0"
"297","Maxx Williams","","","TE30","","271.0"
"298","Fozzy Whittaker","","","RB85","","274.0"
"299","Johnny Manziel","","","QB36","","276.0"
"300","Jacquizz Rodgers","","","RB86","","278.0"
"301","Brandon Weeden","","","QB37","","281.0"
"302","Zac Stacy","","","RB87","","284.0"
"303","Jermaine Kearse","","","WR92","","285.0"
"304","Marqise","Lee","","WR93","","286.0"
"305","Brock Osweiler","","","QB38","","287.0"
"306","Scott Chandler","","","TE31","","288.0"
"307","Josh Robinson","","","RB88","","290.0"
"308","Robert Turbin","","","RB89","","291.0"
"309","Benjamin Watson","","","TE32","","292.0"
"310","Dri Archer","","","RB90","","294.0"
"311","Devin Smith","","","WR94","","296.0"
"312","Mike Nugent","","","K28","","297.0"
"313","Kamar Aiken","","","WR95","","298.0"
"314","Andrew Quarless","","","TE33","","299.0"
"315","Geno Smith","SEA","9","QB39","","303.0"
"316","Jamison Crowder","WAS","8","WR96","","304.0"
"317","Jimmy Garoppolo","LAR","","QB40","","305.0"
"318","De'Anthony Thomas","","","WR97","","306.0"
"319","Nick Toon","","","WR98","","307.0"
"320","Marlon Brown","","","WR99","","309.0"
"321","Harry Douglas","","","WR100","","310.0"
"322","Chris Conley","SF","10","WR101","","311.0"
"323","Benny Cunningham Jr.","","","RB91","","312.0"
"324","Brian Hartline","","","WR102","","313.0"
"325","Josh Gordon","","","WR103","","315.0"
"326","Robert Woods","HOU","9","WR104","","316.0"
"327","Jimmy Clausen","","","QB41","","317.0"
"328","Justin Hunter","","","WR105","","318.0"
"329","Cairo Santos","CHI","7","K29","","320.0"
"330","Garrett Graham","","","TE34","","321.0"
"331","E.J. Manuel","","","QB42","","322.0"
"332","Clive Walford","","","TE35","","323.0"
"333","Tim Tebow","","","TE36","","324.0"
"334","Matt Cassel","","","QB43","","325.0"
"335","Jarius Wright","","","WR106","","326.0"
"336","Hakeem Nicks","","","WR107","","328.0"
"337","Gavin Escobar","","","TE37","","329.0"
"338","Jacob Tamme","","","TE38","","330.0"
"339","Jace Amaro","","","TE39","","331.0"
"340","Marquess Wilson","","","WR108","","332.0"
"341","Ryan Succop","","","K30","","333.0"
"342","Ka'Deem Carey","","","RB92","","335.0"
"343","James Casey","","","TE40","","336.0"
"344","Corey Brown","","","WR109","","337.0"
"345","Nate Washington","","","WR110","","339.0"
"346","Lance Kendricks","","","TE41","","340.0"
"347","Toby Gerhart","","","RB93","","341.0"
"348","Kai Forbath","LAR","","K31","","342.0"
"349","Bilal Powell","","","RB94","","343.0"
"350","Mike Tolbert","","","RB95","","344.0"
"351","Dion Sims","","","TE42","","345.0"
"352","Dexter McCluster","","","RB96","","346.0"
"353","Brent Celek","","","TE43","","347.0"
"354","Marcedes Lewis","","","TE44","","348.0"
"355","Matt Asiata","","","RB97","","349.0"
"356","Crockett Gillmore","","","TE45","","351.0"
"357","Shaun Suisham","","","K32","","352.0"
"358","Blaine Gabbert","KC","9","QB44","","353.0"
"359","Devin Hester","","","WR111","","354.0"
"360","Jerricho Cotchery","","","WR112","","356.0"
"361","Josh Lambo","","","K33","","357.0"
"362","Drew Stanton","","","QB45","","358.0"
"363","AJ McCarron","","","QB46","","359.0"
"364","Travis Coons","","","K34","","360.0"
"365","Tyler Clutts","","","RB98","","362.0"
"366","Chris Hogan","","","WR113","","363.0"
"367","Derek Anderson","","","QB47","","364.0"
"368","Shaun Hill","","","QB48","","365.0"
"369","Rashad Ross","","","WR114","","366.0"
"370","Tennessee Titans","DST","4","DST31","","367.0"
"371","Ricardo Lockette","","","WR115","","369.0"
"372","Jarryd Hayne","","","RB99","","370.0"
"373","Travaris Cadet","","","RB100","","371.0"
"374","Jeff Cumberland","","","TE46","","372.0"
"375","Las Vegas Raiders","DST","","DST32","","373.0"
"376","Andre Caldwell","","","WR116","","374.0"
"377","Jonathan Grimes","","","RB101","","375.0"
"378","Juwan Thompson","","","RB102","","376.0"
"379","Dion Lewis","","","RB103","","377.0"
"380","J.J. Nelson","","","WR117","","378.0"
"381","Zach Zenner","","","RB104","","379.0"
"382","Joseph Fauria","","","TE47","","380.0"
"383","David Akers","","","K35","","382.0"
"384","Bryce Brown","","","RB105","","383.0"
"385","Ryan Williams","","","RB106","","384.0"
"386","Tim Wright","","","TE48","","385.0"
"387","Zach Hocker","","","K36","","386.0"
"388","Matt Hasselbeck","","","QB49","","387.0"
"389","Ted Ginn Jr.","","","WR118","","388.0"
"390","Ryan Nassib","","","QB50","","389.0"
"391","Luke McCown","","","QB51","","390.0"
"392","Matt McGloin","","","QB52","","391.0"
"393","Andre Roberts","","","WR119","","392.0"
