"Rank","Player","Team","Bye","POS","AVG"
"302","Kayshon Boutte","NE","14","WR99","294.5"
"303","Tyler Bass","BUF","7","K15","270.0"
"304","Miami Dolphins","DST","12","DST27","275.0"
"305","Jake Moody","SF","14","K16","275.0"
"306","Will Reichard","MIN","6","K17","278.0"
"307","Khalil Herbert","IND","11","RB86","300.0"
"308","Joshua Karty","LAR","8","K18","279.0"
"309","Troy Franklin","DEN","12","WR100","300.5"
"310","Daniel Carlson","LV","8","K19","280.0"
"311","Xavier Restrepo","TEN","10","WR101","301.5"
"312","Samaje Perine","CIN","10","RB87","301.5"
"313","Tyler Loop","BAL","7","K20","283.0"
"314","Jameis Winston","NYG","14","QB40","284.0"
"315","Marquez Valdes-Scantling","SEA","8","WR102","284.0"
"316","Kenneth Gainwell","PIT","5","RB88","285.0"
"317","Dameon Pierce","HOU","6","RB89","304.0"
"318","Brandin Cooks","NO","11","WR103","304.0"
"319","Christian Watson","GB","5","WR104","288.0"
"320","Oronde Gadsden II","LAC","12","TE40","305.5"
"321","Ty Johnson","BUF","7","RB90","306.5"
"322","Josh Reynolds","NYJ","9","WR105","290.0"
"323","Emanuel Wilson","GB","5","RB91","306.5"
"324","Noah Fant","SEA","8","TE41","292.0"
"325","Treylon Burks","TEN","10","WR106","294.0"
"326","Devin Singletary","NYG","14","RB92","308.0"
"327","Ben Sinnott","WAS","12","TE42","295.0"
"328","Nick Westbrook-Ikhine","MIA","12","WR107","296.0"
"329","Las Vegas Raiders","DST","8","DST28","297.0"
"330","Isaac TeSlaa","DET","8","WR108","309.5"
"331","New Orleans Saints","DST","11","DST29","299.0"
"332","Noah Brown","WAS","12","WR109","300.0"
"333","Jalen Nailor","MIN","6","WR110","311.0"
"334","Jermaine Burton","CIN","10","WR111","312.0"
"335","Gardner Minshew II","KC","10","QB41","304.0"
"336","KaVontae Turpin","DAL","10","WR112","305.0"
"337","Zay Jones","ARI","8","WR113","306.0"
"338","JuJu Smith-Schuster","KC","10","WR114","308.0"
"339","Will Levis","TEN","10","QB42","308.0"
"340","Carolina Panthers","DST","14","DST30","310.0"
"341","Isaiah Davis","NYJ","9","RB93","317.0"
"342","Jacoby Brissett","ARI","8","QB43","313.0"
"343","Jacksonville Jaguars","DST","8","DST31","315.0"
"344","Malik Washington","MIA","12","WR115","316.0"
"345","Mac Jones","SF","14","QB44","317.0"
"346","Devontez Walker","BAL","7","WR116","319.0"
"347","Demarcus Robinson","SF","14","WR117","320.0"
"348","Will Dissly","LAC","12","TE43","321.0"
"349","Phil Mafah","DAL","10","RB94","325.0"
"350","Savion Williams","GB","5","WR118","326.0"
""
""
