"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"204","Joe Flacco","IND","10","QB28","149","","","194.0"
"205","Austin Seferian-Jenkins","","","TE21","208","","","194.2"
"206","Karlos Williams","","","RB62","","","","168.3"
"207","Phillip Dorsett II","DEN","11","WR67","167","","","195.2"
"208","Rishard Matthews","","","WR68","200","","","195.8"
"209","Richard Rodgers","","","TE22","209","","","196.8"
"210","Baltimore Ravens","DST","8","DST17","226","","","198.2"
"211","Charcandrick West","","","RB63","196","","","205.4"
"212","Kenny Stills","","","WR69","207","","","221.5"
"213","Anquan Boldin","","","WR70","205","","","206.2"
"214","Clive Walford","","","TE23","218","","","208.8"
"215","Virgil Green","","","TE24","203","","","208.8"
"216","Javorius Allen","","","RB64","215","","","186.8"
"217","Danny Amendola","","","WR71","","","","187.3"
"218","Shane Vereen","","","RB65","154","","","211.6"
"219","Matt Bryant","","","K14","240","","","212.0"
"220","Charles Clay","","","TE25","174","","","212.6"
"221","Buffalo Bills","DST","10","DST18","210","","","213.6"
"222","Terrance Williams","","","WR72","216","","","217.2"
"223","Jacksonville Jaguars","DST","5","DST19","201","","","197.5"
"224","Tim Hightower","","","RB66","195","","","218.4"
"225","Sam Bradford","","","QB29","189","","","220.0"
"226","Matt Prater","ARI","9","K15","242","","","220.8"
"227","Sammie Coates","","","WR73","198","","","221.0"
"228","Teddy Bridgewater","","","QB30","","","","202.5"
"229","Robert Kelley","","","RB67","","","","109.0"
"230","Josh Brown","","","K16","228","","","206.3"
"231","Jared Goff","DET","10","QB31","","","","226.2"
"232","Martavis Bryant","","","WR74","","","","210.5"
"233","Benjamin Watson","","","TE26","","","","209.3"
"234","Dustin Hopkins","CLE","13","K17","245","","","232.2"
"235","Mike Nugent","","","K18","236","","","216.0"
"236","Roberto Aguayo","","","K19","229","","","234.8"
"237","Dallas Cowboys","DST","7","DST20","","","","190.7"
"238","Jermaine Kearse","","","WR75","237","","","219.5"
"239","Jordan Cameron","","","TE27","234","","","219.8"
"240","Hunter Henry","NE","9","TE28","","","","220.5"
"241","Tampa Bay Buccaneers","DST","6","DST21","233","","","239.0"
"242","Nick Novak","","","K20","243","","","240.4"
"243","Washington Commanders","DST","9","DST22","186","","","200.0"
"244","Breshad Perriman","","","WR76","","","","226.0"
"245","Kenny Britt","","","WR77","230","","","226.8"
"246","Robbie Gould","","","K21","238","","","226.8"
"247","Connor Barth","","","K22","","","","153.0"
"248","Mike Gillislee","","","RB68","232","","","202.7"
"249","Ronnie Hillman","","","RB69","","","","205.7"
"250","Leonard Fournette","","","RB70","","","","20.0"
"251","Nelson Agholor","BAL","8","WR78","","","","210.0"
"252","James Jones","","","WR79","","","","212.3"
"253","Chris Thompson","","","RB71","217","","","213.3"
"254","Miami Dolphins","DST","8","DST23","","","","214.0"
"255","Christian McCaffrey","SF","8","RB72","","","","39.0"
"256","Joe Mixon","HOU","9","RB73","","","","40.0"
